code,name,industry,current_price,high_lookback,low_lookback,drawdown,drawdown_pct,bounce_from_low,distance_to_resistance,volume_ratio,volume_contracted,is_oversold,meet_all_conditions,scan_date,lookback_period,bounce_trigger_date
300986,,,30.18,45.55,9.68,-0.3374313940724478,33.74313940724478,211.77685950413223,50.92776673293571,193.3987444049484,False,True,True,2026-03-11,120,2025-12-24
688387,,,14.71,22.16,6.47,-0.33619133574007215,33.619133574007215,127.35703245749616,50.64581917063221,96.6726651671091,False,True,True,2026-03-11,120,2025-11-25
603359,,,7.0,10.5,6.6,-0.3333333333333333,33.33333333333333,6.060606060606066,50.0,48.63638002507246,True,True,True,2026-03-11,120,2026-02-24
002629,,,6.67,9.99,5.66,-0.33233233233233234,33.233233233233236,17.844522968197875,49.77511244377811,137.22614701614057,False,True,True,2026-03-11,120,2026-01-22
301171,,,56.07,83.95,29.13,-0.3321024419297201,33.21024419297201,92.48197734294543,49.72355983591939,96.31900535290289,False,True,True,2026-03-11,120,2025-11-17
600537,,,3.42,5.12,2.61,-0.33203125000000006,33.20312500000001,31.03448275862069,49.70760233918129,137.71155576091388,False,True,True,2026-03-11,120,2026-01-19
000695,,,12.87,19.25,11.99,-0.33142857142857146,33.142857142857146,7.339449541284396,49.57264957264958,42.45272978502529,True,True,True,2026-03-11,120,2026-02-13
301110,,,70.82,105.9,61.86,-0.33125590179414555,33.12559017941455,14.484319430973155,49.53402993504662,117.44693442952911,False,True,True,2026-03-11,120,2025-12-31
003009,,,67.3,100.6,47.44,-0.33101391650099404,33.1013916500994,41.863406408094434,49.47994056463595,48.75430916230471,True,True,True,2026-03-11,120,2025-11-21
300769,,,41.25,61.46,38.97,-0.32883176049463064,32.88317604946307,5.850654349499618,48.99393939393939,72.94272087582603,False,True,True,2026-03-11,120,2026-02-24
688115,,,49.2,73.3,44.66,-0.3287858117326057,32.87858117326057,10.165696372592938,48.98373983739836,139.61682670017666,False,True,True,2026-03-11,120,2026-02-06
002547,,,3.86,5.74,3.55,-0.3275261324041812,32.75261324041812,8.732394366197186,48.70466321243524,138.9584240049136,False,True,True,2026-03-11,120,2026-02-24
002228,,,4.51,6.7,3.59,-0.3268656716417911,32.68656716417911,25.62674094707521,48.558758314855886,34.407630430361756,True,True,True,2026-03-11,120,2025-11-13
300337,,,14.63,21.73,9.58,-0.3267372296364473,32.67372296364473,52.71398747390398,48.530416951469576,62.94285344519902,True,True,True,2026-03-11,120,2025-11-28
688365,,,23.07,34.2,13.13,-0.32543859649122814,32.543859649122815,75.7044935262757,48.244473342002614,102.2507539858474,False,True,True,2026-03-11,120,2025-11-18
002347,,,9.81,14.54,6.51,-0.3253094910591471,32.53094910591471,50.69124423963135,48.21610601427114,52.385368411151155,True,True,True,2026-03-11,120,2025-12-04
301017,,,15.53,23.01,12.69,-0.3250760538896133,32.50760538896133,22.379826635145783,48.16484224082423,55.2303640603464,True,True,True,2026-03-11,120,2025-11-25
300454,,,126.99,188.0,107.13,-0.3245212765957447,32.45212765957447,18.538224586950435,48.04315300417356,158.53618984412938,False,True,True,2026-03-11,120,2025-12-26
688222,,,29.07,42.98,21.46,-0.32363890181479754,32.36389018147975,35.46132339235787,47.850017199862386,91.92703570260062,False,True,True,2026-03-11,120,2025-12-19
600576,,,6.4,9.45,5.58,-0.3227513227513227,32.275132275132265,14.69534050179212,47.656249999999986,74.70718548843168,False,True,True,2026-03-11,120,2025-12-19
